,Author Keyword,eID,Abbreviation,Code,Text
0,"['Amino acid mutation', 'Amyotrophic lateral sclerosis', 'Bioinformatics annotation']",2-s2.0-72749121548,BIOC,1305,Biotechnology
1,"['Bioinformatics', 'Pistacia chinensis Bunge', 'SAD gene']",2-s2.0-72749085355,ENGI,2204,Biomedical Engineering
2,"['Albuminoid gene family', 'Bioinformatics', 'Evolution', 'Lampetra japonica', 'Plasma albumin', 'Structural domain']",2-s2.0-72749087053,BIOC,1305,Biotechnology
3,"['Bioinformatics; function', 'Camellia oliefera', 'Clone', 'Small heat shock protein']",2-s2.0-72749115956,ENGI,2204,Biomedical Engineering
4,"['Bioinformatics Analysis', 'Goose', 'Sterol regulatory element binding protein-2 gene']",2-s2.0-72749083676,BIOC,1305,Biotechnology
5,"['Bioinformatics', 'DNA cloning', 'DNA fingerprint', 'DNA marker sequence', 'Gastrodia tuber', 'Genomic DNA sequence']",2-s2.0-72749100693,ENGI,2204,Biomedical Engineering
6,NaN,2-s2.0-72749083167,BIOC,1305,Biotechnology
7,"['Bioinformatic', 'BnSKP1', 'Oligochitosan', 'RACE', 'Signal pathway']",2-s2.0-72749118547,ENGI,2204,Biomedical Engineering
8,"['Breast cancer', 'COMT', 'MRTF-A', 'Tamoxifen']",2-s2.0-72749127374,BIOC,1305,Biotechnology
9,"['Cloning', 'EST', 'Lipoxygenase', 'LOX gene family', 'Wild soybean']",2-s2.0-72749119775,ENGI,2204,Biomedical Engineering
10,"['EST', 'miRNA', 'Prediction', 'Solanum tuberosum']",2-s2.0-72749119453,BIOC,1305,Biotechnology
11,"['Chinese white pear', 'Gametophytic self-incompatibility', 'Rapid amplification of cDNA ends', 'S20-RNase', 'Three-dimension (3D) structure']",2-s2.0-72749123170,ENGI,2204,Biomedical Engineering
12,"['PATSER', 'PpsR, FnrL', 'Purple bacteria', 'Regulon', 'Transcription regulation']",2-s2.0-72749115940,COMP,1700,Computer Science (all)
13,"['Bio-informatics', 'Classification', 'Evolutionary algorithms', 'Genetic programming', 'Proteins', 'Text mining']",2-s2.0-72749098380,MATH,2614,Theoretical Computer Science
14,"['Affymetrix genechip', 'Alternative splicing', 'Alternative splicing of homosapiens exons', 'Bioinformatics', 'Biological interpretation of computer generated motifs', 'Gene expression and regulation', 'Genetic algorithms', 'Genetic programming', 'Grammar', 'HDONA']",2-s2.0-72749111665,BIOC,1305,Biotechnology
15,"['Hidden Markov Model (HMM)', 'Motif finding', 'Transcription factor binding site']",2-s2.0-72749114148,ENGI,2204,Biomedical Engineering
16,"['Bagging predictor', 'Mass spectrometry', 'Proteomic', 'Wavelet transform']",2-s2.0-72749121089,BIOC,1305,Biotechnology
