,Author Keyword,eID,Abbreviation,Code,Text
0,"['Environmental risk assessment', 'Extrapolation', 'Model ecosystems', 'Pesticides', 'Species sensitivity distributions', 'Traits']",2-s2.0-84863501426,AGRI,1108,Horticulture
1,"['Identification', 'Mouse cerebral cortex', 'Natural antisense transcript', 'Screening']",2-s2.0-84863031252,MEDI,2700,Medicine (all)
2,NaN,2-s2.0-84855185917,BIOC,1303,Biochemistry
3,NaN,2-s2.0-84455169910,BIOC,1312,Molecular Biology
4,"['Bioinformatics', 'Clinical trial', 'Dna', 'Human genome', 'Sequencing']",2-s2.0-84855180726,COMP,1706,Computer Science Applications
5,NaN,2-s2.0-84455161742,MATH,2604,Applied Mathematics
6,"['bioinformatics', 'parallel computing', 'Personal genomes', 'workflow management']",2-s2.0-84455182873,BIOC,1315,Structural Biology
7,NaN,2-s2.0-84855168678,BIOC,1303,Biochemistry
8,"['2D structure of proteins', 'Alignments', 'Protein sequences', 'Scoring matrices', 'Symbol comparison tables']",2-s2.0-84255198207,BIOC,1307,Cell Biology
9,"['Disease resistance genes', 'homologous gene', 'tandem duplication']",2-s2.0-84255171778,BIOC,1312,Molecular Biology
10,"['Bi-clustering', 'Co-similarity', 'Gene Expression Analysis']",2-s2.0-84255176339,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
11,"['Bioinformatics', 'Cybernetics', 'Database', 'DNA', 'Genomics', 'Information', 'Systems engineering']",2-s2.0-80051749344,MEDI,2700,Medicine (all)
12,"['bubble sets', 'cell signaling', 'computational biology', 'interaction', 'rule-based modeling and simulation', 'visualization']",2-s2.0-84255188344,BIOC,1303,Biochemistry
13,"['CUDA', 'GPU', 'Lunarc', 'MATLAB', 'Parallel toolbox', 'Parallelization']",2-s2.0-84255162449,BIOC,1307,Cell Biology
14,"['chemical space', 'drug discovery', 'molecule morphing']",2-s2.0-84255168999,BIOC,1312,Molecular Biology
15,"['Bioinformatics', 'Clustering', 'Graph layout', 'Molecular dynamics', 'Protein folding', 'Time varying visualization']",2-s2.0-84255162882,COMP,1700,Computer Science (all)
16,"['Antioxidant', 'AutoDock Vina', 'Cofactor', 'Docking', 'Inhibitor', 'TarFisDock']",2-s2.0-84255195262,MATH,2614,Theoretical Computer Science
17,NaN,2-s2.0-84155173488,BIOC,1305,Biotechnology
18,"['Decoding Performance', 'DNA Data Embedding', 'DNA Watermarking', 'Sequence Alignment']",2-s2.0-84155173606,BIOC,1311,Genetics
19,"['Gene expression', 'Intestinal transplantation', 'Rejection']",2-s2.0-84858425827,MEDI,2736,Pharmacology (medical)
20,"['Biological validation', 'Gene network', 'Gene-gene interaction', 'KEGG', 'Metabolic pathway']",2-s2.0-84155183141,COMP,1700,Computer Science (all)
21,NaN,2-s2.0-84155191304,MATH,2614,Theoretical Computer Science
22,"['aerobic exercise', 'heart rate variability', 'metabolic syndrome', 'nutrition education', 'weight-control program']",2-s2.0-84155191243,COMP,1700,Computer Science (all)
23,"['alternative splicing', 'domain-domain interactions', 'liver cancer', 'onco-protein', 'protein-protein interactions', 'tumor suppressor protein']",2-s2.0-84155176952,ARTS,1202,History
24,"['constrained longest common subsequence', 'hybrid', 'sequential substring']",2-s2.0-84155176960,ARTS,1207,History and Philosophy of Science
25,"['DNA computing', 'DNA-detection', 'hybridization', 'magnetic beads', 'photodiode']",2-s2.0-84155176966,ARTS,1201,Arts and Humanities (miscellaneous)
26,"['anisotropic diffusion', 'breast MRI', 'pectoral muscle', 'segmentation', 'structure tensor']",2-s2.0-84155173557,BIOC,1305,Biotechnology
27,NaN,2-s2.0-84155182867,COMP,1707,Computer Vision and Pattern Recognition
28,"['epistasis', 'odds ratio (OR))', 'particle swarm optimization (PSO)', 'single nucleotide polymorphism (SNP)']",2-s2.0-84155173561,COMP,1710,Information Systems
29,"['gene ID conversion', 'genetic annotations', 'identifier mapping', 'interval overlap', 'interval trees']",2-s2.0-84155191262,MATH,2604,Applied Mathematics
30,"['idiotypic immune network', 'immune memory', 'stability']",2-s2.0-84155177000,COMP,1706,Computer Science Applications
31,"['hub proteins', 'machine learning algorithms', 'neural networks', 'protein-protein interaction network']",2-s2.0-84155173538,ENGI,2208,Electrical and Electronic Engineering
32,"['Diffusion-Reaction', 'Facilitated Target-Location', 'Monte Carlo method', 'Protein-DNA Interaction', 'Random Environment']",2-s2.0-84155173552,MATE,2504,"Electronic, Optical and Magnetic Materials"
33,"['arrhythmia classification', 'electrocardiogram', 'knowledge-based system', 'ontology']",2-s2.0-84155176955,PHYS,3104,Condensed Matter Physics
34,"['high-level programming', 'image analysis']",2-s2.0-84155173628,CENG,1502,Bioengineering
35,"['Bayesian network', 'ChIP-Seq data', 'histone code', 'histone modification']",2-s2.0-84155183208,ENGI,2204,Biomedical Engineering
36,"['filter methods', 'gene expression', 'gene selection', 'microarray', 'ranking functions']",2-s2.0-84155183224,BIOC,1305,Biotechnology
