,Author Keyword,eID,Abbreviation,Code,Text
0,NaN,2-s2.0-84992650141,COMP,1702,Artificial Intelligence
1,"['Bioinformatics tool', 'Gene variant', 'Single Nucleotide Polymorphism', 'USP9Y']",2-s2.0-85008506396,BIOC,1311,Genetics
2,"['Bioinformatics', 'CRYAB', 'HSPB5', 'Molecular dynamics', 'Mutation', 'Myofibrillar myopathy']",2-s2.0-84997190947,MEDI,2716,Genetics (clinical)
3,NaN,2-s2.0-85003587564,MEDI,2734,Pathology and Forensic Medicine
4,"['Benders decomposition', 'Bioinformatics', 'Combinatorial optimization', 'Integer programming', 'Telecommunications']",2-s2.0-85006304239,BIOC,1313,Molecular Medicine
5,"['Diptericin', 'Drosophila melanogaster', 'Imd pathway', 'miR-981', 'miR-9a', 'Small RNA-Seq']",2-s2.0-85009348432,MEDI,2737,Physiology (medical)
6,"['Bacillus', 'Cocoa fermentation', 'DegU regulator', 'Pectate lyase', 'pel gene regulation']",2-s2.0-85006304193,ENGI,2207,Control and Systems Engineering
7,"['Bioinformatics', 'Computational proteomics', 'Mass spectrometry', 'Proteogenomics', 'Workflow management']",2-s2.0-84981738091,ENGI,2210,Mechanical Engineering
8,"['Collusion-resistant fingerprinting', 'P2P content distribution', 'Privacy', 'Recombined fingerprints']",2-s2.0-85000352209,MATH,2604,Applied Mathematics
9,"['DNA-binding protein prediction', 'Feature representation algorithm', 'Local evolutionary information', 'Machine learning-based method', 'Random forest']",2-s2.0-85003554417,MATH,2611,Modeling and Simulation
10,NaN,2-s2.0-85007107119,DECI,1803,Management Science and Operations Research
11,"['Classification', 'L1-regularized logistic regression', 'Local dimension reduction', 'Microarray data', 'Partial least squares (PLS)']",2-s2.0-85008352108,DECI,1802,Information Systems and Management
12,NaN,2-s2.0-84992070728,IMMU,2403,Immunology
13,"['Active site', 'Comparative model', 'Denitrification', 'Function prediction', 'Nirk gene', 'Phylogenetic tree']",2-s2.0-85008425635,BIOC,1309,Developmental Biology
14,"['Ca2\xa0+-binding protein', 'Calmodulin', 'ELISA', 'Immunolocalization', 'Sarcoptes scabiei']",2-s2.0-84996605931,IMMU,2404,Microbiology
15,"['Host-toxicity', 'In vitro antibacterial study', 'Lipinski rules of five', 'Molecular docking', 'Molecular modeling', 'MRSA-DHPS', 'Thymol', 'VRE-DHPS']",2-s2.0-85009476310,AGRI,1106,Food Science
16,NaN,2-s2.0-84994381596,ENGI,2207,Control and Systems Engineering
17,"['Avidin', 'Biosensors', 'Electrochemical impedance', 'Graphene', 'Molecular dynamics']",2-s2.0-84978933873,MATH,2614,Theoretical Computer Science
18,"['Feature extraction', 'L2,1-norm constraint', 'RNA-Seq data analysis', 'Semi-supervised method', 'Spectral regression']",2-s2.0-85006856638,COMP,1712,Software
19,"['biological realism', 'epistemology computer simulation', 'Large-scale neural simulation', 'neuromorphic systems', 'principles of neural computing']",2-s2.0-84959060688,COMP,1706,Computer Science Applications
20,"['Adaptive user interaction', 'Biomedical ontologies', 'Smart applications', 'Software agents', 'Text annotation']",2-s2.0-84997611190,DECI,1802,Information Systems and Management
21,"['Dominant markers', 'GelJ', 'Interoperability', 'Phylogenetic trees', 'Population genetics', 'PopXML']",2-s2.0-85007385521,COMP,1702,Artificial Intelligence
22,"['Esterase', 'Halophilic', 'Janibacter', 'Thermophilic']",2-s2.0-85008622612,ENGI,2200,Engineering (all)
23,"['Scientific workflows', 'Software product line', 'Workflow algebra', 'Workflow derivation']",2-s2.0-84989866090,COMP,1706,Computer Science Applications
24,"['Bioinformatics prediction', 'Common or rare variants', 'Major depressive disorder', 'Resequencing analysis', 'Suicide attempts', 'Transcription factor binding sites']",2-s2.0-85008191019,COMP,1702,Artificial Intelligence
25,"['Azonia aromatic heterocycles', 'Cell staining', 'DNA intercalation', 'Imidazopyridinium cations']",2-s2.0-84999666534,ENGI,2207,Control and Systems Engineering
26,"['Agonist', 'Human estrogen receptor alpha', 'Molecular dynamics simulation', 'Pharmacophore']",2-s2.0-84939525237,MATH,2614,Theoretical Computer Science
27,"['Bioinformatics', 'Neurohormone', 'Neuropeptide', 'Transcriptomics']",2-s2.0-84995528482,COMP,1712,Software
28,"['Band-like model', 'Charge transport', 'DNA', 'Hopping model', 'Theoretical study']",2-s2.0-85007442832,COMP,1706,Computer Science Applications
29,"['Finite element method', 'Fluid', 'Interface conditions', 'Ionic transport', 'Mechanics', 'Numerical simulation']",2-s2.0-85006988859,DECI,1802,Information Systems and Management
30,"['Cellular automata (CA)', 'DNA sequence', 'Image encryption', 'Memristive hyperchaotic system', 'SHA 256']",2-s2.0-85007364100,COMP,1702,Artificial Intelligence
31,"['Bioinformatics', 'Membrane computing', 'Modeling', 'P systems', 'Planarian', 'Regeneration']",2-s2.0-85002339079,CHEM,1602,Analytical Chemistry
32,"['Convex optimization', 'Data-driven method', 'Empirical mode decomposition', 'Laser speckle contrast imaging', 'Pseudoxanthoma elasticum', 'Time-frequency']",2-s2.0-85007438937,BIOC,1303,Biochemistry
33,"['Agent-based modeling', 'Cancer treatment', 'Q-learning', 'Radiotherapy', 'Reinforcement learning']",2-s2.0-84977617290,BIOC,1315,Structural Biology
34,"['Algorithms', 'Convexity', 'Counting', 'Fibonacci numbers', 'Phylogenetics', 'Trees']",2-s2.0-85006789429,BIOC,1303,Biochemistry
35,"['Bioinformatics', 'FimA', 'In silico', 'Periodontal-endodontic lesions', 'Porphyromonas gingivalis', 'Toluidine blue O', 'Virulence factor']",2-s2.0-85004097366,CHEM,1605,Organic Chemistry
36,"['Amino acid', 'Blocks', 'Hydropathicity', 'Mutation', 'Scale']",2-s2.0-85000352063,MATH,2605,Computational Mathematics
37,"['Cyclic peptide', 'Diffusion coefficient', 'Hydrophobic accessible surface', 'Linear peptide', 'Molecular dynamics simulations', 'Radial distribution function', 'Solvent']",2-s2.0-85009107910,PSYC,3200,Psychology (all)
38,"['Antimicrobial peptide', 'Bioinformatics', 'Invertebrate', 'Web database']",2-s2.0-84997284824,BIOC,1315,Structural Biology
