eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-84863501426,60025199,"Technical University of Lisbon, Instituto Superior de Agronomia",Portugal
2-s2.0-84863501426,60004156,Wageningen University and Research Centre,Netherlands
2-s2.0-84863031252,60073478,National Laboratory of Medical Molecular Biology Beijing,China
2-s2.0-84855185917,60000961,Institute Ruder Boskovic,Croatia
2-s2.0-84455169910,60001117,The Johns Hopkins School of Medicine,United States
2-s2.0-84455169910,60003443,Johns Hopkins Medical Institutions,United States
2-s2.0-84455169910,60006577,"National Institutes of Health, Bethesda",United States
2-s2.0-84455169910,60020468,National Institute on Drug Abuse,United States
2-s2.0-84455169910,60029608,Institute of Zoology Chinese Academy of Sciences,China
2-s2.0-84855180726,60013227,Northwestern University Feinberg School of Medicine,United States
2-s2.0-84855180726,60029075,Marshfield Clinic,United States
2-s2.0-84455161742,60022756,"Washington University in St. Louis, School of Medicine",United States
2-s2.0-84455182873,60025272,University of Tokyo,Japan
2-s2.0-84855168678,60018495,Health Canada,Canada
2-s2.0-84855168678,60017592,Carleton University,Canada
2-s2.0-84255198207,60069155,Kalamata General Hospital,Greece
2-s2.0-84255198207,100311085,Aglaia Kyriakou Children's Hospital,Greece
2-s2.0-84255198207,60002861,"Technologiko Ekpaideutiko Idrima, Athinas",Greece
2-s2.0-84255198207,60004737,Pecsi Tudomanyegyetem,Hungary
2-s2.0-84255171778,60104661,Hebei United University,China
2-s2.0-84255176339,60051231,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Pakistan
2-s2.0-80051749344,60006754,Consejo Superior de Investigaciones Cient&amp;iacute;ficas,Spain
2-s2.0-84255188344,60015543,University of Pittsburgh,United States
2-s2.0-84255162449,60029170,Lunds Universitet,Sweden
2-s2.0-84255168999,60016605,Charles University in Prague,Czech Republic
2-s2.0-84255168999,60021588,Vysoka skola chemicko-technologicka v Praze,Czech Republic
2-s2.0-84255162882,60020304,University of Maryland,United States
2-s2.0-84255162882,60033114,Wake Forest University,United States
2-s2.0-84255195262,60055678,Universidad de Cartagena,Colombia
2-s2.0-84155173488,NaN,NaN,NaN
2-s2.0-84155173606,60005141,University College Dublin,Ireland
2-s2.0-84858425827,60021519,University of Miami Leonard M. Miller School of Medicine,United States
2-s2.0-84858425827,60029251,University of Miami,United States
2-s2.0-84155183141,60030114,Universidad Pablo de Olavide,Spain
2-s2.0-84155191304,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155191304,60073388,"Institute of Plant and Microbial Biology, Academia Sinica",Taiwan
2-s2.0-84155191304,60006988,China Medical University Taichung,Taiwan
2-s2.0-84155191304,60016969,Academia Sinica Taiwan,Taiwan
2-s2.0-84155191243,60092855,National Taiwan Sport University,Taiwan
2-s2.0-84155191243,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155191243,60021062,Tunghai University,Taiwan
2-s2.0-84155191243,60006988,China Medical University Taichung,Taiwan
2-s2.0-84155191243,60072384,Kainan University Taiwan,Taiwan
2-s2.0-84155191243,60031941,China Medical University Hospital Taichung,Taiwan
2-s2.0-84155176952,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155176952,60069716,National Yang-Ming University Taiwan,Taiwan
2-s2.0-84155176960,60011357,National Sun Yat-Sen University Taiwan,Taiwan
2-s2.0-84155176966,60014966,Peking University,China
2-s2.0-84155173557,60007215,Chonnam National University,South Korea
2-s2.0-84155173557,60000656,Seoul National University College of Medicine,South Korea
2-s2.0-84155182867,60012370,National Chiao Tung University Taiwan,Taiwan
2-s2.0-84155173561,60090110,Toko University,Taiwan
2-s2.0-84155173561,60073387,Kaohsiung Medical University Chung-Ho Memorial Hospital,Taiwan
2-s2.0-84155173561,60006510,National Kaohsiung University of Applied Sciences,Taiwan
2-s2.0-84155173561,60024908,I-Shou University,Taiwan
2-s2.0-84155191262,60022286,University of Louisville Health Sciences Center,United States
2-s2.0-84155177000,60028038,Hsiuping Institute of Technology Taiwan,Taiwan
2-s2.0-84155177000,60072384,Kainan University Taiwan,Taiwan
2-s2.0-84155173538,60025709,The University of Sydney,Australia
2-s2.0-84155173538,60001821,Universiti Kebangsaan Malaysia,Malaysia
2-s2.0-84155173552,60008926,U.S. Army Engineer Research and Development Center,United States
2-s2.0-84155173552,60002476,Virginia Commonwealth University,United States
2-s2.0-84155176955,60011220,"Sirindhorn International Institute of Technology, Thammasat University",Thailand
2-s2.0-84155173628,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155173628,60027561,University of Illinois at Chicago,United States
2-s2.0-84155173628,60006988,China Medical University Taichung,Taiwan
2-s2.0-84155173628,60017991,National University of Tainan Taiwan,Taiwan
2-s2.0-84155183208,60011375,Japan Advanced Institute of Science and Technology,Japan
2-s2.0-84155183224,60012468,University of Windsor,Canada
2-s2.0-84155183225,60090110,Toko University,Taiwan
2-s2.0-84155183225,60073387,Kaohsiung Medical University Chung-Ho Memorial Hospital,Taiwan
2-s2.0-84155183225,60006510,National Kaohsiung University of Applied Sciences,Taiwan
2-s2.0-84155183225,60024908,I-Shou University,Taiwan
2-s2.0-84155173570,60028038,Hsiuping Institute of Technology Taiwan,Taiwan
2-s2.0-84155173570,60017511,National Chung Hsing University,Taiwan
2-s2.0-84155173570,60072384,Kainan University Taiwan,Taiwan
2-s2.0-84155183148,60013183,King Saud University,Saudi Arabia
2-s2.0-84155191333,60082199,Shanghai University of Electric Power,China
2-s2.0-84155191333,60002798,Chinese University of Hong Kong,China
2-s2.0-84155191327,60105211,"Edith Cowan University, Mount Lawley",Australia
2-s2.0-84155173616,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155173626,60008286,Chung Hua University,Taiwan
2-s2.0-84155173626,60022095,Taipei Medical University,Taiwan
2-s2.0-84155183137,60024666,National Central University Taiwan,Taiwan
2-s2.0-84155183137,60095411,Hsing Wu College,Taiwan
2-s2.0-84155183137,60011629,Ching Yun University Taiwan,Taiwan
2-s2.0-84155183137,60008872,China Medical University Shenyang,China
2-s2.0-84155183137,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155173617,60024666,National Central University Taiwan,Taiwan
2-s2.0-84155191242,60006988,China Medical University Taichung,Taiwan
2-s2.0-84155191242,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155191242,60031941,China Medical University Hospital Taichung,Taiwan
2-s2.0-84155177009,60022465,Daido Institute of Technology,Japan
2-s2.0-84155173631,60005429,National Taiwan University,Taiwan
2-s2.0-84155173631,60021062,Tunghai University,Taiwan
2-s2.0-84155173631,60073385,National Taiwan University Hospital,Taiwan
2-s2.0-84155176968,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155177016,60012718,Mahidol University,Thailand
2-s2.0-84155177016,60023202,"Bioinformatics Institute, A-Star, Singapore",Singapore
2-s2.0-84155183156,60017991,National University of Tainan Taiwan,Taiwan
2-s2.0-84155173564,60031482,Universidade Federal de Pernambuco,Brazil
2-s2.0-84155191266,60014714,University of Dhaka,Bangladesh
2-s2.0-84155173632,60022174,Changhua Christian Hospital Taiwan,Taiwan
2-s2.0-84155173632,60011357,National Sun Yat-Sen University Taiwan,Taiwan
2-s2.0-84155191302,60007278,UC Irvine,United States
2-s2.0-84155183220,60017991,National University of Tainan Taiwan,Taiwan
2-s2.0-84155176967,60078616,Nanyang Technological University School of Computer Engineering,Singapore
2-s2.0-84155191325,60078616,Nanyang Technological University School of Computer Engineering,Singapore
2-s2.0-84155191325,60000305,Case Western Reserve University,United States
2-s2.0-84155191325,60087536,Renji Hospital,China
2-s2.0-84155191325,60010544,University of North Texas Health Science Center,United States
2-s2.0-84155173607,60027859,Southwestern College,United States
2-s2.0-84155173607,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155191231,60022465,Daido Institute of Technology,Japan
2-s2.0-84155191231,60011001,Kyoto University,Japan
2-s2.0-84155173613,60015336,Chuo University,Japan
2-s2.0-84155173613,60029306,Wuhan University,China
2-s2.0-84155173613,60025278,Tsinghua University,China
2-s2.0-84155173613,60007278,UC Irvine,United States
2-s2.0-84155183207,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155183207,60006988,China Medical University Taichung,Taiwan
2-s2.0-84155183147,60025399,Ta-Hwa Institute of Technology Taiwan,Taiwan
2-s2.0-84155183147,60006988,China Medical University Taichung,Taiwan
2-s2.0-84155183142,60024666,National Central University Taiwan,Taiwan
2-s2.0-84155183142,60095411,Hsing Wu College,Taiwan
2-s2.0-84155183142,60011629,Ching Yun University Taiwan,Taiwan
2-s2.0-84155183142,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155191234,60022286,University of Louisville Health Sciences Center,United States
2-s2.0-84155191308,60010037,National Health Research Institutes Taiwan,Taiwan
2-s2.0-84155191306,60090110,Toko University,Taiwan
2-s2.0-84155191306,60006510,National Kaohsiung University of Applied Sciences,Taiwan
2-s2.0-84155191306,60024908,I-Shou University,Taiwan
2-s2.0-84155177008,112580689,Chung Chou Technology University,Taiwan
2-s2.0-84155177008,60022174,Changhua Christian Hospital Taiwan,Taiwan
2-s2.0-84155177008,60006834,National Changhua University of Education,Taiwan
2-s2.0-84155173568,60021238,National Chiayi University,Taiwan
2-s2.0-84155191310,60014982,National Cheng Kung University,Taiwan
2-s2.0-84155191311,60022465,Daido Institute of Technology,Japan
2-s2.0-84155176998,60072429,Asia University Taiwan,Taiwan
2-s2.0-84155176998,60027561,University of Illinois at Chicago,United States
2-s2.0-84155176998,60007278,UC Irvine,United States
2-s2.0-84155173563,60025864,Da-Yeh University,Taiwan
2-s2.0-84155176958,60011629,Ching Yun University Taiwan,Taiwan
2-s2.0-84155191255,60017511,National Chung Hsing University,Taiwan
2-s2.0-84155183158,60010265,University of Colorado at Colorado Springs,United States
2-s2.0-84155183158,60007709,Tezpur University,India
2-s2.0-84862908655,60003711,"University of Pennsylvania, School of Medicine",United States
2-s2.0-84862908655,112918328,Central Bucks High School East,United States
2-s2.0-84862908655,112919132,J. R. Masterman Laboratory and Preparation School,United States
2-s2.0-84862908655,109474856,Conestoga High School,United States
2-s2.0-84862908655,60015920,Boston Biomedical Research Institute,United States
2-s2.0-84862908655,100974705,Radnor High School,United States
2-s2.0-84862908655,60015136,ANZAC Research Institute,Australia
2-s2.0-84862908655,60025063,KU Leuven,Belgium
2-s2.0-84862908655,60002333,"Mayo Clinic in Jacksonville, Florida",United States
2-s2.0-84862908655,60025709,The University of Sydney,Australia
2-s2.0-84862908655,60006297,University of Pennsylvania,United States
2-s2.0-84862908655,60031040,Umea universitet,Sweden
2-s2.0-84862908655,60030118,The Children's Hospital of Philadelphia,United States
2-s2.0-84862908655,60010586,Universitat Ulm,Germany
2-s2.0-84055193956,60015336,Chuo University,Japan
2-s2.0-84055193956,60011375,Japan Advanced Institute of Science and Technology,Japan
2-s2.0-84055193956,60031126,Tokyo Institute of Technology,Japan
2-s2.0-84055193956,60014756,Gunma University,Japan
2-s2.0-84055177100,60005830,Laboratoire d'Analyse et d'Architecture des Systemes,France
2-s2.0-84055177100,60028039,Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento,Italy
2-s2.0-84055177100,60102748,IMDEA Institute,Spain
2-s2.0-84055192365,60104031,Oberthur Technologies,France
2-s2.0-84055217010,60007566,Louisiana State University,United States
2-s2.0-84055217010,60018029,National Tsing Hua University,Taiwan
2-s2.0-84055217010,60016969,Academia Sinica Taiwan,Taiwan
2-s2.0-84055212160,60002439,"Universidad De Los Andes, Merida",Venezuela
2-s2.0-84055212160,60007801,University of Texas at El Paso,United States
2-s2.0-84055193764,60030931,University of Oklahoma,United States
2-s2.0-84055193764,60010021,University of Central Oklahoma,United States
2-s2.0-84055217988,60010426,"St George's Hospital, London",United Kingdom
2-s2.0-84055217988,60017098,De Montfort University,United Kingdom
2-s2.0-84055199865,60103898,Institute of Medical Science The University of Tokyo,Japan
2-s2.0-84055211899,60092945,King Abdullah University of Science and Technology,Saudi Arabia
2-s2.0-84055198722,60029516,University of Hyderabad,India
2-s2.0-84055198245,60025153,Universita degli Studi di Genova,Italy
2-s2.0-84055193780,60002243,MIT Media Laboratory,United States
2-s2.0-84055193780,60003526,Boston Medical Center,United States
2-s2.0-84055221898,112541161,Instituto Tecnolgico Metropolitano,Colombia
2-s2.0-84055221898,60055696,Universidad Nacional de Colombia,Colombia
2-s2.0-84055192377,60006288,Delft University of Technology,Netherlands
2-s2.0-84055217782,112540953,Guangdong Technical College of Water Resources and Electric Engineering,China
2-s2.0-84055217782,60005816,South China Normal University,China
2-s2.0-83755170582,60025278,Tsinghua University,China
2-s2.0-83755170582,60007278,UC Irvine,United States
2-s2.0-83755185876,60029929,Massachusetts General Hospital,United States
2-s2.0-83755184233,NaN,NaN,NaN
2-s2.0-83755196168,105293294,Infobright,Canada
2-s2.0-83755196168,60007163,Hannam University,South Korea
2-s2.0-83755196168,60003500,Ohio State University,United States
2-s2.0-83755196168,60068730,Høgskolen i Oslo og Akershus,Norway
2-s2.0-83755196168,60001558,Electronics and Telecommunications Research Institute,South Korea
2-s2.0-83755196168,60021666,Nanjing University of Aeronautics and Astronautics,China
2-s2.0-83755196168,60001526,Mississippi State University,United States
2-s2.0-83755170517,60027561,University of Illinois at Chicago,United States
2-s2.0-83755170517,60014097,Indian Institute of Science,India
2-s2.0-83755168831,60014982,National Cheng Kung University,Taiwan
2-s2.0-83755168831,60022095,Taipei Medical University,Taiwan
2-s2.0-82455166760,112714187,University of North Carolin,United States
2-s2.0-82455166760,60004923,North Carolina State University,United States
2-s2.0-82455166760,60020650,University of Bristol,United Kingdom
2-s2.0-82455166760,60011425,American Museum of Natural History,United States
2-s2.0-82455166760,60000473,Rutgers University-Newark Campus,United States
2-s2.0-82455166760,60016849,University of Toronto,Canada
2-s2.0-82455166760,60007776,Cornell University,United States
2-s2.0-82455166760,60007670,Smithsonian National Museum of Natural History,United States
2-s2.0-82455166760,60021121,Indiana University,United States
2-s2.0-82455166760,101960005,North Carolina Museum of Natural Sciences,United States
2-s2.0-82455166760,60031004,University of Queensland,Australia
2-s2.0-82455166760,60020402,Instituto Butantan,Brazil
2-s2.0-82455166760,60017246,Universitat Tubingen,Germany
2-s2.0-82455166760,60025371,University of Alabama,United States
2-s2.0-84455174842,60029652,Cold Spring Harbor Laboratory,United States
2-s2.0-83755168972,60006886,Seattle Biomedical Research Institute,United States
2-s2.0-83755168972,60026415,Stony Brook University State University of New York,United States
2-s2.0-83755168972,60007776,Cornell University,United States
2-s2.0-83755161453,60026326,Suranaree University of Technology,Thailand
2-s2.0-83755228877,60010571,"University of Newcastle, Australia",Australia
2-s2.0-83755196226,60007511,Sungkyunkwan University,South Korea
2-s2.0-84255163306,60018691,Rush University Medical Center,United States
2-s2.0-84255163306,60009254,Purdue University,United States
2-s2.0-84255163306,60021947,Indiana University School of Medicine Indianapolis,United States
2-s2.0-84255163306,60026161,University of North Dakota,United States
2-s2.0-84255163306,60009982,Harvard University,United States
2-s2.0-84255163306,60029747,The University of Georgia,United States
2-s2.0-84255163306,60030612,"University of California, San Diego",United States
2-s2.0-84055178149,60069737,Beijing Institute of Biotechnology,China
2-s2.0-84255195398,60006725,Greenwood Genetics Center,United States
2-s2.0-84255195398,60018691,Rush University Medical Center,United States
2-s2.0-84255195398,60026610,Clemson University,United States
2-s2.0-84255195398,60002821,Guangxi Medical University,China
2-s2.0-84255195398,60026161,University of North Dakota,United States
2-s2.0-84255195398,60029929,Massachusetts General Hospital,United States
2-s2.0-84255195398,60005248,Johns Hopkins University,United States
2-s2.0-84255195398,60029747,The University of Georgia,United States
2-s2.0-84255163369,60026161,University of North Dakota,United States
2-s2.0-84255163369,60018691,Rush University Medical Center,United States
2-s2.0-84255163369,60001681,Abbott Laboratories,United States
2-s2.0-84855872458,112600096,Emory-Georgia Tech Cancer Nanotechnology Center,
2-s2.0-84855872458,60019647,Georgia Institute of Technology,United States
2-s2.0-83755224789,112536407,Chengdu Universtiy,China
2-s2.0-84855170153,60002746,Harvard Medical School,United States
2-s2.0-83755169684,60021182,Sun Yat-Sen University,China
2-s2.0-83755169684,60024542,South China University of Technology,China
2-s2.0-84055216948,60028973,South African Medical Research Council,South Africa
2-s2.0-84055216948,60001565,Universiteit Stellenbosch,South Africa
2-s2.0-84055216948,60000356,University of Cape Town,South Africa
2-s2.0-83755163699,60000238,Jackson State University,United States
2-s2.0-83755163699,60029734,Tougaloo College,United States
2-s2.0-83755163699,60032083,University at Buffalo State University of New York,United States
2-s2.0-84055178423,60009858,Methodist Research Institute,United States
2-s2.0-84055178423,60021947,Indiana University School of Medicine Indianapolis,United States
2-s2.0-83655182566,60024417,Universitatea Babes-Bolyai din Cluj-Napoca,Romania
2-s2.0-83755229182,60012311,Karolinska Institutet,Sweden
2-s2.0-83755229182,101109988,C.N.R. Institute for Neurogenetics and Neuropharmacology,Italy
2-s2.0-83755229182,112429503,Science for Life Laboratory,Sweden
2-s2.0-83755229182,60002952,Helsingin Yliopisto,Finland
2-s2.0-83755229182,60019295,Karolinska University Hospital,Sweden
2-s2.0-83755229182,60020779,Orebro Lans Landsting,Sweden
2-s2.0-83755229182,60008141,Orebro Universitet,Sweden
2-s2.0-83755229182,60027548,"Universita degli Studi del Piemonte Orientale Amedeo Avogadro, Novara",Italy
2-s2.0-82355161388,60018505,CSIC-UAM - Centro de Biolog&amp;iacute;a Molecular Severo Ochoa (CBM),Spain
2-s2.0-82355161388,60011100,Fundacion Centro Nacional de Investigaciones Cardiovasculares,Spain
2-s2.0-82355161388,60025858,Eidgenossische Technische Hochschule Zurich,Switzerland
2-s2.0-83655203106,60023654,Universitatea Transilvania din Brasov,Romania
2-s2.0-83655203106,60015877,Universitatea Lucian Blaga din Sibiu,
2-s2.0-84861835750,60025084,Shanghai Jiaotong University,China
2-s2.0-82355175926,60032083,University at Buffalo State University of New York,United States
2-s2.0-83655197907,60104004,University of Central Greece,Greece
2-s2.0-83655197907,60025063,KU Leuven,Belgium
2-s2.0-83655197907,60072562,University of Luxembourg,Luxembourg
2-s2.0-83655197907,60003185,Academy of Athens,Greece
2-s2.0-83655197907,60031155,Panepistimion Patron,Greece
2-s2.0-83655197907,60007257,European Molecular Biology Laboratory Heidelberg,Germany
2-s2.0-84871392106,60009860,Fudan University,China
2-s2.0-83455166316,60004876,J. Craig Venter Institute,United States
2-s2.0-80355144417,60021182,Sun Yat-Sen University,China
2-s2.0-83455253570,60028897,"University of Ottawa, Canada",Canada
2-s2.0-83455253570,60024989,Universidade de Brasilia,Brazil
