eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-84961719997,60068698,Rural Development Administration,South Korea
2-s2.0-84961719997,60001170,Yeungnam University,South Korea
2-s2.0-84920269023,60005244,Southeast University,China
2-s2.0-84952910012,60028900,University of Athens,Greece
2-s2.0-84961696313,60068698,Rural Development Administration,South Korea
2-s2.0-84961696313,116473938,"Biomedic Co., Ltd.",South Korea
2-s2.0-84961696313,60023353,Jeju National University,South Korea
2-s2.0-84957110623,112608209,Jilin Province People's Hospital,China
2-s2.0-84933181837,100820192,Immatics Biotechnologies GmbH,Germany
2-s2.0-84933181837,114597698,BioNTech RNA Pharmaceuticals GmbH,Germany
2-s2.0-84933181837,60031216,Johannes Gutenberg Universitat Mainz,Germany
2-s2.0-84964039176,60003892,Arizona State University,United States
2-s2.0-84952311998,60017705,Chinese Academy of Agricultural Sciences,China
2-s2.0-84957968872,113818407,Center for Genomic Sciences,United States
2-s2.0-84957968872,109631598,"OptiMetrics, Inc.",United States
2-s2.0-84957968872,115209674,"TMG Biosciences, LLC",United States
2-s2.0-84957968872,60073773,Edgewood Chemical Biological Center,United States
2-s2.0-84957968872,60007174,Lawrence Berkeley National Laboratory,United States
2-s2.0-84957968872,60030162,Columbia University in the City of New York,United States
2-s2.0-84957968872,60012786,Walter Reed Army Institute of Research,United States
2-s2.0-84957968872,60006602,"University of Washington, Tacoma",United States
2-s2.0-84957969022,60006807,U.S. Army Medical Research Institute of Infectious Diseases,United States
2-s2.0-84957969022,60014674,U.S. Army Medical Research and Materiel Command,United States
2-s2.0-84957969022,60004876,J. Craig Venter Institute,United States
2-s2.0-84951985537,60031004,University of Queensland,Australia
2-s2.0-84964049732,60028897,"University of Ottawa, Canada",Canada
2-s2.0-84951969455,60005517,Wellcome Trust Sanger Institute,United Kingdom
2-s2.0-84963769486,60022527,Northeast University at Qinhuangdao Campus,China
2-s2.0-84957938576,60003942,Universidad Adolfo Ibanez,Chile
2-s2.0-84962468365,60032955,Huazhong Agricultural University,China
2-s2.0-84962468365,60083498,Shandong Jianzhu University,China
2-s2.0-84962812584,NaN,NaN,NaN
2-s2.0-84971441718,60000196,Chengdu University of Traditional Chinese Medicine,China
2-s2.0-84971441718,60103284,China Academy of Chinese Medical Sciences,China
2-s2.0-84952794539,60031838,Kyushu Institute of Technology,Japan
2-s2.0-84952794539,60011047,Kyushu University,Japan
2-s2.0-84952684940,60073504,Sichuan Cancer Hospital and Institute,China
2-s2.0-84971383933,60083913,Jilin Agricultural University,China
2-s2.0-84962907396,60068809,University of Kragujevac,Serbia
2-s2.0-84962907396,60002746,Harvard Medical School,United States
2-s2.0-84962789019,60011520,King's College London,United Kingdom
2-s2.0-84962789019,60025704,City University London,United Kingdom
2-s2.0-84962789019,60002947,National Technical University of Athens,Greece
2-s2.0-84962789019,60022148,UCL,United Kingdom
2-s2.0-84962921663,109934321,Kragujevac,Serbia
2-s2.0-84962921663,60068809,University of Kragujevac,Serbia
2-s2.0-84962861093,60068809,University of Kragujevac,Serbia
2-s2.0-84962786492,60029546,Rijeka University,Croatia
2-s2.0-84962881925,60020004,Pontificia Universidade Catolica do Parana,Brazil
2-s2.0-84962881925,60010818,University of Kent,United Kingdom
2-s2.0-84962861095,116516665,Research and Development Center for Bioengineering 'Bioirc',Serbia
2-s2.0-84962861095,60068809,University of Kragujevac,Serbia
2-s2.0-84962861095,60009071,Istituto di Fisiologia Clinica del CNR,Italy
2-s2.0-84962861095,60004716,Panepistimion Ioanninon,Greece
2-s2.0-84962910815,60029857,"Foundation for Research and Technology-Hellas, Institute of Electronic Structure and Laser",Greece
2-s2.0-84962910815,60004716,Panepistimion Ioanninon,Greece
2-s2.0-84962910815,60028900,University of Athens,Greece
2-s2.0-84962910815,60028717,Ludwig-Maximilians-Universitat Munchen,Germany
2-s2.0-84951847962,60007363,Northwestern University,United States
2-s2.0-84962829070,115286434,NTIS - New Technologies for the Information Society,Czech Republic
2-s2.0-84962829070,60003263,University of West Bohemia,Czech Republic
2-s2.0-84962860276,60105159,"Ritsumeikan University, Biwako-Kusatsu",Japan
2-s2.0-84964018935,60003161,University Politehnica of Bucharest,Romania
2-s2.0-84964018935,60010758,Université de Mons,Belgium
2-s2.0-84962821795,116113643,Bioengineering Research and Development Center,Serbia
2-s2.0-84962821795,60068829,Srpska akademija nauka i umetnosti,Serbia
2-s2.0-84962821795,60014933,Methodist Hospital Houston,United States
2-s2.0-84962920848,60068809,University of Kragujevac,Serbia
2-s2.0-84962920848,60028628,Northeastern University,United States
2-s2.0-84962896301,107970452,Institute of Cardiovascular Diseases of Vojvodina,Serbia
2-s2.0-84962896301,60068829,Srpska akademija nauka i umetnosti,Serbia
2-s2.0-84962896301,60068801,University of Novi Sad,Serbia
2-s2.0-84962858652,60025704,City University London,United Kingdom
2-s2.0-84962858652,60004716,Panepistimion Ioanninon,Greece
2-s2.0-84962858652,60028900,University of Athens,Greece
2-s2.0-84962858652,60012937,Universiteit Antwerpen,Belgium
2-s2.0-84962858652,60002947,National Technical University of Athens,Greece
2-s2.0-84962858652,60024805,Universitats Klinikum Freiburg und Medizinische Fakultat,Germany
2-s2.0-84962858652,60033316,Universiteit Gent,Belgium
2-s2.0-84962858652,60022148,UCL,United Kingdom
2-s2.0-84962828487,60068809,University of Kragujevac,Serbia
2-s2.0-84962783521,60068809,University of Kragujevac,Serbia
2-s2.0-84962783521,116517651,Institute of Cardiovascular Diseases in Sremska Mitrovica,Serbia
2-s2.0-84962890347,116516769,Technical Faculty,Poland
2-s2.0-84962890347,60085173,Szkola Glowna Gospodarstwa Wiejskiego,Poland
2-s2.0-84962890347,60002096,Politechnika Bialostocka,Poland
2-s2.0-84962861960,60017605,Fuzhou University,China
2-s2.0-84962861960,60008928,Hong Kong Polytechnic University,China
2-s2.0-84962881527,60021379,Bahcesehir Universitesi,Turkey
2-s2.0-84962881527,60028502,Istanbul Universitesi,Turkey
2-s2.0-84962881527,60019963,Yildiz Teknik Universitesi,Turkey
2-s2.0-84962866400,60020486,Universitat Bern,Switzerland
2-s2.0-84962866400,60029543,Masaryk University,Czech Republic
2-s2.0-84962851398,60027666,Sharif University of Technology,Iran
2-s2.0-84962788189,60018306,Wright State University,United States
2-s2.0-84962914871,109631599,R and D Center for Bioengineering,Serbia
2-s2.0-84962914871,60068809,University of Kragujevac,Serbia
2-s2.0-84962914871,60009982,Harvard University,United States
2-s2.0-84962787563,116517134,Center for Data Analytics and Biomedical Informatics,United States
2-s2.0-84962787563,60016618,Ain Shams University,Egypt
2-s2.0-84962787563,60030398,Temple University,United States
2-s2.0-84962875856,60068815,University of Belgrade,Serbia
2-s2.0-84962860754,60068809,University of Kragujevac,Serbia
2-s2.0-84962860754,110003879,Clinical Center Kragujevac,Serbia
2-s2.0-84962821128,60068809,University of Kragujevac,Serbia
2-s2.0-84962821128,110003879,Clinical Center Kragujevac,Serbia
2-s2.0-84962875903,60010667,Panepistimion Pireos,Greece
2-s2.0-84962875903,60025812,Panepistimio Thesalias,Greece
2-s2.0-84962802883,60025555,Nippon Telegraph and Telephone Corporation,Japan
2-s2.0-84962800221,60068809,University of Kragujevac,Serbia
2-s2.0-84962858028,109887445,Faculty of Engineering,Hungary
2-s2.0-84962858028,105212138,Faculty of Technical Sciences,Serbia
2-s2.0-84962910932,60068809,University of Kragujevac,Serbia
2-s2.0-84962910932,60068806,Univerzitet u Niu,Serbia
2-s2.0-84962809894,60025225,University of Southampton,United Kingdom
2-s2.0-84962909870,100567844,Unit of Medical Technology and Intelligent Information Systems,Greece
2-s2.0-84962909870,60104215,Institute of Communications and Computer Systems,Greece
2-s2.0-84962909870,112576843,University Medical Center Rostock,Germany
2-s2.0-84962909870,60029857,"Foundation for Research and Technology-Hellas, Institute of Electronic Structure and Laser",Greece
2-s2.0-84962909870,60103765,CSIC - Instituto de Microelectronica de Barcelona (IMB-CNM),Spain
2-s2.0-84962909870,60082061,Azienda Ospedaliera-Universitaria Pisana,Italy
2-s2.0-84962909870,60002196,Hospital Universitario Virgen Macarena,Spain
2-s2.0-84962909870,60028868,Universita di Pisa,Italy
